SucursalID,Sucursal,x,y,total_reviews,total_reviews_pos,total_reviews_neg,total_reviews_neu,rating_promedio,likes_totales,score_positivo_prom,score_negativo_prom,emocion_frecuente,pct_positivos,pct_negativos,pct_neutros,indice_sentimientos
1,CULIACAN,24.8041354,-107.39316,132,62,51,19,3.58,53,0.43,0.38,others,46.97,38.64,14.39,0.06558720050157663
5,LOS MOCHIS,25.7888668,-108.9895597,99,51,32,16,3.6,25,0.48,0.34,others,51.52,32.32,16.16,0.16561369196563033
6,MAZATLAN,23.223175,-106.4193928,102,44,40,18,3.55,62,0.41,0.4,others,43.14,39.22,17.65,0.02569676293355843
9,MEXICALI,32.6437524,-115.4738294,202,94,81,27,3.41,201,0.44,0.4,others,46.53,40.1,13.37,0.048582292773334076
14,NAVOLATO,24.7638994,-107.6949655,6,3,3,0,3.0,2,0.37,0.42,others,50.0,50.0,0.0,-0.02533036777943683
27,AGUASCALIENTES,21.8824877,-102.2982366,263,109,127,27,3.17,273,0.38,0.47,others,41.44,48.29,10.27,-0.07464413058542305
37,HERMOSILLO,29.0799756,-110.954234,210,108,72,30,3.6,99,0.47,0.34,others,51.43,34.29,14.29,0.14859654475502404
40,ENSENADA,31.8676987,-116.6257605,125,54,51,20,3.47,85,0.41,0.39,others,43.2,40.8,16.0,0.021178211320883412
41,CULIACAN CAÑADAS,24.7811132,-107.4120425,60,29,26,5,3.37,26,0.43,0.42,others,48.33,43.33,8.33,0.02777201432149125
43,GUADALAJARA SAN JUAN,20.6732354,-103.3353744,341,161,145,35,3.35,262,0.44,0.41,others,47.21,42.52,10.26,0.035822527168874865
48,LEON OBELISCO,21.1305046,-101.6574907,229,111,79,39,3.73,128,0.46,0.35,others,48.47,34.5,17.03,0.12605104460094416
51,TEPIC,21.5080218,-104.8930166,101,40,46,15,3.29,85,0.4,0.44,others,39.6,45.54,14.85,-0.04904059058977599
55,AZCAPOTZALCO,19.4785688,-99.1864794,381,148,191,42,3.1,265,0.36,0.49,others,38.85,50.13,11.02,-0.1143268460953823
56,DURANGO,24.0286284,-104.6540451,183,77,89,17,3.22,220,0.4,0.46,others,42.08,48.63,9.29,-0.06225244527670261
58,PUEBLA,19.048708,-98.205353,592,296,210,86,3.66,280,0.48,0.35,others,50.0,35.47,14.53,0.13267485058738462
59,TOLUCA,19.2921845,-99.6507247,414,162,206,46,3.06,286,0.37,0.49,anger,39.13,49.76,11.11,-0.1117665791117899
61,GUADALAJARA TETLAN,20.6598076,-103.2764181,253,109,115,29,3.28,120,0.4,0.45,others,43.08,45.45,11.46,-0.03250220190366677
62,MONTERREY,25.6690806,-100.3167921,336,163,116,57,3.55,298,0.46,0.35,others,48.51,34.52,16.96,0.12275452459651348
65,VERACRUZ,19.198072,-96.135322,253,143,87,23,3.8,144,0.52,0.34,others,56.52,34.39,9.09,0.19098183984387604
68,CIUDAD AZTECA,19.5284735,-99.0296244,448,178,190,80,3.3,295,0.38,0.42,others,39.73,42.41,17.86,-0.034405954669881465
69,TONALA TONALTECAS,20.6264484,-103.2459677,225,77,95,53,3.28,179,0.33,0.42,others,34.22,42.22,23.56,-0.08457867421618621
73,TLALNEPANTLA,19.542966,-99.194508,624,251,290,83,3.19,409,0.37,0.46,others,40.22,46.47,13.3,-0.07352172470867553
77,SAN LUIS POTOSI,22.1521618,-100.9728481,318,117,166,35,2.99,248,0.34,0.51,anger,36.79,52.2,11.01,-0.15641019310359933
79,TLALPAN,19.2806901,-99.1661089,656,198,385,73,2.78,583,0.28,0.56,anger,30.18,58.69,11.13,-0.27559037906039463
81,IXTAPALUCA,19.314837,-98.880633,295,166,96,33,3.66,241,0.53,0.32,others,56.27,32.54,11.19,0.21409533913146067
82,GUADALAJARA CIRCUNVALACION,20.6941827,-103.3236349,400,155,201,44,3.03,144,0.37,0.49,others,38.75,50.25,11.0,-0.11394754160562004
83,NEZAHUALCOYOTL,19.3983634,-99.0295168,927,369,407,151,3.31,645,0.37,0.43,others,39.81,43.91,16.29,-0.05003070562637514
85,TECAMAC,19.668406,-99.0062749,341,163,146,32,3.41,225,0.44,0.42,others,47.8,42.82,9.38,0.034916886159468086
86,IZTAPALAPA CENTRO,19.3584922,-99.0913416,445,151,231,63,3.05,399,0.33,0.51,anger,33.93,51.91,14.16,-0.18069939980970767
87,LOS REYES-LA PAZ,19.358659,-98.992929,514,208,246,60,3.19,274,0.38,0.47,others,40.47,47.86,11.67,-0.07661020048968635
88,RIO DE LOS REMEDIOS,19.5099327,-99.0898547,213,99,88,26,3.52,136,0.43,0.4,others,46.48,41.31,12.21,0.040532439956998345
92,CHALCO,19.2625624,-98.8951564,1293,817,250,226,4.22,212,0.59,0.21,others,63.19,19.33,17.48,0.4029622777929428
96,CULHUACAN,19.3396385,-99.1151363,417,172,208,37,3.2,315,0.38,0.48,others,41.25,49.88,8.87,-0.08959086602507592
98,COACALCO,19.6336915,-99.1179932,444,187,194,63,3.27,349,0.4,0.44,others,42.12,43.69,14.19,-0.02632081626156875
99,TULTITLAN,19.6094078,-99.1819383,224,105,82,37,3.56,165,0.43,0.37,others,46.88,36.61,16.52,0.07992085950549205
101,TOLUCA CENTRAL,19.2742805,-99.6440496,231,81,123,27,2.91,190,0.33,0.51,anger,35.06,53.25,11.69,-0.17877900009144604
104,ZAPOPAN CENTRO,20.7215076,-103.3887922,410,157,216,37,2.91,357,0.35,0.51,anger,38.29,52.68,9.02,-0.1453813806774682
105,TLAJOMULCO,20.5299369,-103.3765032,341,150,141,50,3.3,232,0.4,0.4,others,43.99,41.35,14.66,0.013925297115226193
108,CANCUN,21.1599648,-86.8252758,367,139,182,46,3.06,493,0.36,0.48,others,37.87,49.59,12.53,-0.11594733095536223
109,CULIACAN LAS TORRES,24.766217,-107.454161,34,22,9,3,4.12,20,0.63,0.26,joy,64.71,26.47,8.82,0.3695673363694596
110,PUEBLA XILOTZINGO,18.9885417,-98.1999269,309,137,144,28,3.31,137,0.41,0.44,others,44.34,46.6,9.06,-0.024820863905113906
111,METEPEC,19.2821248,-99.5945732,246,87,126,33,3.04,132,0.34,0.5,anger,35.37,51.22,13.41,-0.15939717454420316
113,CELAYA,20.520083,-100.826382,1021,666,179,176,4.32,168,0.61,0.19,others,65.23,17.53,17.24,0.44272975463076736
117,SANTA CATARINA,25.6735957,-100.4578881,143,62,66,15,3.06,93,0.4,0.45,others,43.36,46.15,10.49,-0.03846349095860768
118,SAN CRISTOBAL DE LAS CASAS,16.7305946,-92.6397987,35,19,10,6,3.77,46,0.51,0.27,others,54.29,28.57,17.14,0.2437625460838211
119,CUERNAVACA,18.907191,-99.2320595,380,168,180,32,3.22,406,0.41,0.46,others,44.21,47.37,8.42,-0.037318506425148536
120,URUAPAN,19.4226712,-102.0479454,274,197,38,39,4.42,33,0.66,0.16,others,71.9,13.87,14.23,0.5299229767539246
122,CORDOBA,18.89169,-96.932225,76,40,25,11,3.55,82,0.48,0.34,others,52.63,32.89,14.47,0.16843866320870826
123,OAXACA,17.0583012,-96.7258878,164,77,66,21,3.4,115,0.44,0.4,others,46.95,40.24,12.8,0.05481173394498625
