SucursalID,Sucursal,Direccion,x,y,URL
1,CULIACAN, DR. RUPERTO PALIZA #87 COLONIA CENTRO,24.804042,-107.393253,https://maps.app.goo.gl/HeVsVfX7nCrDSSJB9
72,CUAUHTEMOC," FRAY SERVANDO TERESA DE MIER 351, COLONIA ESPERANZA",19.4227988,-99.1274473,https://maps.app.goo.gl/YJyR48QCSudu6bYu8
234,TUXTLA GUTIERREZ 11 NORTE,11 A CALLE ORIENTE NORTE #585. COL. BARRIO HIDALGO. ENTRE CALLEJON DEL PREVO Y PARQUE INTERIOR CONVIVENCIA INFANTIL,0,0,https://maps.app.goo.gl/m3FMsJUwd1wP3LfF7
183,PLAYA DEL CARMEN,"30 AV. NORTE S/N, COL. CENTRO, ENTRE CALLE 2 NTE Y 4 NTE",0,0,https://maps.app.goo.gl/2GXYTHX692aR9utM9
84,TUXTLA GUTIERREZ,"9NA AVENIDA SUR ORIENTE #388, COLONIA ASAMBLEA DEL BARRIO, SANTA CECILIA",16.746044,-93.115442,https://maps.app.goo.gl/kncSTUtArS61nB2Z6
54,ZAPOPAN LAS AGUILAS,"ADOLFO LOPEZ MATEOS #5561, COLONIA LAS AGUILAS",20.6273191,-103.4180805,https://maps.app.goo.gl/yL3QfEfZi9V8Pv3P9
109,CULIACAN LAS TORRES,"ALCATRAZ #3070 SUR, LOCAL 11, PLAZA COMERCIAL VIA CATALANA, FRACCIONAMIENTO BUGAMBILIAS",24.7665044,-107.4549331,https://maps.app.goo.gl/DWtSvEcKLutH8HNT6
155,PUEBLA EL PORVENIR,"AV 14 OTE #4815, AGRICOLA RESURGIMIENTO",0,0,https://maps.app.goo.gl/47nP6PfDTENoJAkk7
126,QUERETARO PIE DE LA CUESTA,"AV PIE DE LA CUESTA 1690 ENTRE BLVD. DE LA NACION, PRAXEDIS GUERRERO. COLONIA MISION BUCARELI NORTE",20.642206,-100.405711,https://maps.app.goo.gl/PZn1jRArhiH9AmqR7
204,QUERETARO AV DE LA LUZ,"AV, DE LA LUZ #321, COSMOS, ENTRE AV DE LAS FUENTES Y AV DE LA PIEDRA",0,0,https://maps.app.goo.gl/KSMH6a1Jvhdiuk1d7
102,NAUCALPAN,"AV. 1 DE MAYO #236-A, NUCALPAN",19.4661934,-99.234636,https://maps.app.goo.gl/iqHzazN4BdwqgMSi9
251,NICOLAS ROMERO,"AV. 16 DE SEPTIEMBRE #63-A COL. CENTRO, ENTRE CALLE EL TANQUE Y CALLE NIÑOS HEROES",0,0,https://maps.app.goo.gl/VKBW56DamnFYAS4n8
56,DURANGO,AV. 20 DE NOVIEMBRE #1106 COLONIA NUEVA VIZCAYA,24.02791,-104.652484,https://maps.app.goo.gl/bZNznyAb3RGJG4eq6
201,CUAUTITLAN,"AV. 20 DE NOVIEMBRE #224 COL. LOS MORALES 1A SECCION, ENTRE AV. FERROCARRILES PTE Y CALLE IGNACIO LOPEZ RAYON",0,0,https://maps.app.goo.gl/KfX3kJNZ1zRCmqcr6
122,CORDOBA,AV. 3 #905 ENTRE CALLES 9 Y 11. COLONIA CENTRO,18.891428,-96.932329,https://maps.app.goo.gl/5Hny95w6uwD1uqvJA
141,MONTERREY LINCOLN,"AV. ABRAHAM LINCOLN, #3809. MARVEL",0,0,https://maps.app.goo.gl/QqEoBynNsxA1bXeS8
83,NEZAHUALCOYOTL,"AV. ADOLFO LOPEZ MATEOS # 203 ENTRE AV. PANTITLAN Y GLORIETA DE BRUCELI , COL. EVOLUCION",19.3982998,-99.0293996,https://maps.app.goo.gl/fk5G58pLXMxoev5q7
216,SAN LUIS RIO COLORADO,"AV. ALVARO OBREGON #2201 COL. RESIDENCIAS, ENTRE CALLE 22 Y CALLE 23",0,0,https://maps.app.goo.gl/iXR5ML4CmnyN3XnJ6
